review,sentiment
"Absolutely love this product! It exceeded my expectations.",positive
"Terrible quality. Broke after one use.",negative
"It's okay, does the job but nothing special.",neutral
"Fantastic! Will definitely buy again.",positive
"Not worth the money. Very disappointed.",negative
"Average performance, decent value for the price.",neutral
"Highly recommend! Great value and quality.",positive
"Poor packaging, but the product itself is fine.",neutral
"Exceeded expectations. Works like a charm!",positive
"Meh, it's just alright. Not great, not terrible.",neutral
"Bad product. Do not buy.",negative
"Great performance, I am very satisfied.",positive
"Product stopped working after a week.",negative
"Nothing special, just average.",neutral
"Excellent quality! Exceeded expectations.",positive
